=== equities_scalp ===
                         List of relations
 Schema |           Name            |       Type        |   Owner
--------+---------------------------+-------------------+-----------
 public | daily_metrics             | table             | portfolio
 public | fetch_runs                | table             | portfolio
 public | fills                     | table             | portfolio
 public | fills_daily               | table             | portfolio
 public | intraday_metrics          | partitioned table | portfolio
 public | intraday_metrics_20260817 | table             | portfolio
 public | intraday_metrics_20260818 | table             | portfolio
 public | intraday_metrics_20260819 | table             | portfolio
 public | intraday_metrics_20260820 | table             | portfolio
 public | intraday_metrics_20260821 | table             | portfolio
 public | intraday_metrics_20260824 | table             | portfolio
 public | intraday_metrics_20260825 | table             | portfolio
 public | intraday_metrics_20260826 | table             | portfolio
 public | intraday_metrics_20260827 | table             | portfolio
 public | intraday_metrics_20260828 | table             | portfolio
 public | intraday_metrics_20260831 | table             | portfolio
 public | intraday_metrics_20260901 | table             | portfolio
 public | intraday_metrics_20260902 | table             | portfolio
 public | intraday_metrics_20260903 | table             | portfolio
 public | intraday_metrics_20260904 | table             | portfolio
 public | intraday_metrics_20260908 | table             | portfolio
 public | intraday_monthly          | table             | portfolio
 public | provenance                | table             | portfolio
 public | rankings                  | table             | portfolio
 public | universe                  | table             | portfolio
(25 rows)

=== iv_analysis ===
                 List of relations
 Schema |         Name          | Type  |   Owner
--------+-----------------------+-------+-----------
 public | atm_delta_data        | table | portfolio
 public | bt_market_data        | table | portfolio
 public | bt_portfolio_profiles | table | portfolio
 public | bt_sharpetwo          | table | portfolio
 public | bt_skew               | table | portfolio
 public | bt_strategies         | table | portfolio
 public | bt_strategy_trades    | table | portfolio
 public | dte_data              | table | portfolio
 public | moneyness_data        | table | portfolio
 public | spx_options_data      | table | portfolio
(10 rows)

=== open_interest ===
                          List of relations
 Schema |            Name             |       Type        |   Owner
--------+-----------------------------+-------------------+-----------
 public | analyze_cache_outcome       | table             | portfolio
 public | analyze_cache_slim          | table             | portfolio
 public | analyze_cache_trade_meta    | table             | portfolio
 public | analyze_primary_cache       | table             | portfolio
 public | backtest_call_spread        | table             | portfolio
 public | corner_scan_1f              | table             | portfolio
 public | corner_scan_2f              | table             | portfolio
 public | corner_scan_notes           | table             | portfolio
 public | daily_features              | table             | portfolio
 public | earnings_calendar           | table             | portfolio
 public | earnings_coverage           | table             | portfolio
 public | equity_atm                  | partitioned table | portfolio
 public | equity_atm_202501           | table             | portfolio
 public | equity_atm_202502           | table             | portfolio
 public | equity_atm_202503           | table             | portfolio
 public | equity_atm_202504           | table             | portfolio
 public | equity_atm_202505           | table             | portfolio
 public | equity_atm_202506           | table             | portfolio
 public | equity_atm_202507           | table             | portfolio
 public | equity_atm_202508           | table             | portfolio
 public | equity_atm_202509           | table             | portfolio
 public | equity_atm_202510           | table             | portfolio
 public | equity_atm_202511           | table             | portfolio
 public | equity_atm_202512           | table             | portfolio
 public | equity_atm_202601           | table             | portfolio
 public | equity_atm_202602           | table             | portfolio
 public | equity_atm_202603           | table             | portfolio
 public | equity_atm_202604           | table             | portfolio
 public | equity_atm_202605           | table             | portfolio
 public | equity_atm_202606           | table             | portfolio
 public | equity_atm_202607           | table             | portfolio
 public | equity_atm_202608           | table             | portfolio
 public | equity_atm_202609           | table             | portfolio
 public | equity_metrics              | partitioned table | portfolio
 public | equity_metrics_202501       | table             | portfolio
 public | equity_metrics_202502       | table             | portfolio
 public | equity_metrics_202503       | table             | portfolio
 public | equity_metrics_202504       | table             | portfolio
 public | equity_metrics_202505       | table             | portfolio
 public | equity_metrics_202506       | table             | portfolio
 public | equity_metrics_202507       | table             | portfolio
 public | equity_metrics_202508       | table             | portfolio
 public | equity_metrics_202509       | table             | portfolio
 public | equity_metrics_202510       | table             | portfolio
 public | equity_metrics_202511       | table             | portfolio
 public | equity_metrics_202512       | table             | portfolio
 public | equity_metrics_202601       | table             | portfolio
 public | equity_metrics_202602       | table             | portfolio
 public | equity_metrics_202603       | table             | portfolio
 public | equity_metrics_202604       | table             | portfolio
 public | equity_metrics_202605       | table             | portfolio
 public | equity_metrics_202606       | table             | portfolio
 public | equity_metrics_202607       | table             | portfolio
 public | equity_metrics_202608       | table             | portfolio
 public | equity_metrics_202609       | table             | portfolio
 public | equity_metrics_catalog      | table             | portfolio
 public | equity_metrics_z            | partitioned table | portfolio
 public | equity_metrics_z_202501     | table             | portfolio
 public | equity_metrics_z_202502     | table             | portfolio
 public | equity_metrics_z_202503     | table             | portfolio
 public | equity_metrics_z_202504     | table             | portfolio
 public | equity_metrics_z_202505     | table             | portfolio
 public | equity_metrics_z_202506     | table             | portfolio
 public | equity_metrics_z_202507     | table             | portfolio
 public | equity_metrics_z_202508     | table             | portfolio
 public | equity_metrics_z_202509     | table             | portfolio
 public | equity_metrics_z_202510     | table             | portfolio
 public | equity_metrics_z_202511     | table             | portfolio
 public | equity_metrics_z_202512     | table             | portfolio
 public | equity_metrics_z_202601     | table             | portfolio
 public | equity_metrics_z_202602     | table             | portfolio
 public | equity_metrics_z_202603     | table             | portfolio
 public | equity_metrics_z_202604     | table             | portfolio
 public | equity_metrics_z_202605     | table             | portfolio
 public | equity_metrics_z_202606     | table             | portfolio
 public | equity_metrics_z_202607     | table             | portfolio
 public | equity_metrics_z_202608     | table             | portfolio
 public | equity_metrics_z_202609     | table             | portfolio
 public | equity_structure_presets    | table             | portfolio
 public | equity_surface              | partitioned table | portfolio
 public | equity_surface_202501       | table             | portfolio
 public | equity_surface_202502       | table             | portfolio
 public | equity_surface_202503       | table             | portfolio
 public | equity_surface_202504       | table             | portfolio
 public | equity_surface_202505       | table             | portfolio
 public | equity_surface_202506       | table             | portfolio
 public | equity_surface_202507       | table             | portfolio
 public | equity_surface_202508       | table             | portfolio
 public | equity_surface_202509       | table             | portfolio
 public | equity_surface_202510       | table             | portfolio
 public | equity_surface_202511       | table             | portfolio
 public | equity_surface_202512       | table             | portfolio
 public | equity_surface_202601       | table             | portfolio
 public | equity_surface_202602       | table             | portfolio
 public | equity_surface_202603       | table             | portfolio
 public | equity_surface_202604       | table             | portfolio
 public | equity_surface_202605       | table             | portfolio
 public | equity_surface_202606       | table             | portfolio
 public | equity_surface_202607       | table             | portfolio
 public | equity_surface_202608       | table             | portfolio
 public | equity_surface_202609       | table             | portfolio
 public | equity_surface_diagnostics  | table             | portfolio
 public | global_bins_cache           | table             | portfolio
 public | ic_batch_cache              | table             | portfolio
 public | is_bins                     | table             | portfolio
 public | metric_classification       | table             | portfolio
 public | option_iv_daily             | table             | portfolio
 public | option_volume_daily         | table             | portfolio
 public | research_charts             | table             | portfolio
 public | research_followups          | table             | portfolio
 public | research_results            | table             | portfolio
 public | research_runs               | table             | portfolio
 public | research_series             | table             | portfolio
 public | sec_scan_cache              | table             | portfolio
 public | signals                     | table             | portfolio
 public | ticker_analysis_chain_cache | table             | portfolio
 public | ticker_analysis_layouts     | table             | portfolio
