-bash: !~: event not found
           relname           | n_live_tup |   size   | n_tup_ins |          last_stats
-----------------------------+------------+----------+-----------+-------------------------------
 equity_structure_presets    |          1 | 80 kB    |         3 | 2026-09-01 10:38:06.975338+00
 analyze_cache_slim          |          8 | 776 kB   |        63 | 2026-09-01 10:38:06.993958+00
 underlying_ohlc             |     227434 | 34 MB    |    235238 | 2026-09-01 10:38:08.479437+00
 signals                     |         22 | 112 kB   |        39 | 2026-09-01 10:38:08.48969+00
 equity_surface_202507       |     998142 | 228 MB   |    998142 | 2026-09-01 10:38:10.530353+00
 analyze_cache_trade_meta    |          8 | 32 MB    |        62 | 2026-09-01 10:38:10.594068+00
 equity_metrics_catalog      |        767 | 1368 kB  |       833 | 2026-09-01 10:38:10.632152+00
 research_runs               |          0 | 16 kB    |         0 | 2026-09-01 10:38:10.650819+00
 research_results            |          0 | 40 kB    |         0 | 2026-09-01 10:38:10.655889+00
 research_series             |          0 | 24 kB    |         0 | 2026-09-01 10:38:10.663255+00
 research_charts             |          0 | 24 kB    |         0 | 2026-09-01 10:38:10.668434+00
 equity_atm                  |          0 | 0 bytes  |         0 | 2026-09-01 10:38:16.725897+00
 research_followups          |          0 | 16 kB    |         0 | 2026-09-01 10:38:16.731759+00
 equity_surface              |          0 | 0 bytes  |         0 | 2026-09-01 10:38:20.017729+00
 equity_atm_202507           |      52540 | 10 MB    |     52540 | 2026-09-01 10:38:20.415046+00
 corner_scan_notes           |         35 | 64 kB    |        35 | 2026-09-01 10:38:20.423595+00
 analyze_cache_outcome       |        104 | 171 MB   |       766 | 2026-09-01 10:38:20.567579+00
 ticker_analysis_layouts     |          0 | 56 kB    |         1 | 2026-09-01 10:38:20.590427+00
 ticker_analysis_chain_cache |        603 | 11 MB    |       603 | 2026-09-01 10:38:21.376329+00
 option_volume_daily         |     215582 | 74 MB    |    222462 | 2026-09-01 10:38:22.42785+00
 option_iv_daily             |     215060 | 39 MB    |    221700 | 2026-09-01 10:38:23.044667+00
 equity_atm_202606           |      70516 | 15 MB    |     70516 | 2026-09-01 10:38:23.693897+00
 equity_atm_202601           |      66202 | 14 MB    |     66202 | 2026-09-01 10:38:24.173159+00
